Fecha,Beta,Gamma,S,I,R,Confirmados,I acum
2020-05-25,0.2,0.0714,99972.20013921015,18.23101896985245,9.568841820003817,,27.799860789856268
2020-05-26,0.2,0.0714,99968.55494905575,20.57451436979664,10.870536574451283,,31.44505094424792
2020-05-27,0.2,0.0714,99964.4413401151,23.219102984447463,12.339556900454763,,35.55865988490223
2020-05-28,0.2,0.0714,99959.79917079858,26.203428347875693,13.997400853544312,500.0,40.20082920142001
2020-05-29,0.2,0.0714,99954.56059192811,29.571082434317496,15.868325637582636,,45.43940807190013
2020-05-30,0.2,0.0714,99948.64906282621,33.37123625040701,17.979700923392905,,51.35093717379991
2020-05-31,0.2,0.0714,99941.97824286463,37.65934994369714,20.362407191671966,900.0,58.0217571353691
2020-06-01,0.2,0.0714,99934.4507429992,42.497972223143975,23.051284777651944,,65.54925700079592
2020-06-02,0.2,0.0714,99925.95671997558,47.95764003003376,26.085639994384422,,74.04328002441818
2020-06-03,0.19,0.0714,99916.37229385153,54.117890655955996,29.509815492528833,,83.62770614848483
2020-06-04,0.18,0.0714,99906.0984935615,60.52767355314379,33.373832885364095,2300.0,93.90150643850788
2020-06-05,0.17,0.0714,99895.21374287343,67.09074834950506,37.69550877705856,,104.78625712656363
2020-06-06,0.16,0.0714,99883.8202669743,73.69394481647375,42.485788209213226,,116.17973302568697
2020-06-07,0.15,0.0714,99872.0429345922,80.2095295386783,47.74753586910945,,127.95706540778775
2020-06-08,0.14,0.0714,99860.02690022544,86.49860349639215,53.47449627817108,,139.97309977456322
2020-06-09,0.13,0.0714,99847.93404620465,92.41545722752406,59.650496567813484,,152.06595379533755
2020-06-10,0.12,0.0714,99835.93830598313,97.81273380301361,66.24896021385871,5000.0,164.0616940168723
2020-06-11,0.11,0.0714,99824.22003471413,102.5471758784751,73.23278940739388,,175.77996528586897
2020-06-12,0.1,0.0714,99812.95967368042,106.48566855446656,80.554657765117,,187.04032631958356
2020-06-13,0.09,0.0714,99802.33102393916,109.51124156092952,88.15773449990591,,197.66897606083543
2020-06-14,0.08,0.0714,99792.49449447617,111.52866837647497,95.97683714735628,,207.50550552383123
2020-06-15,0.07,0.0714,99783.59071525621,112.46930067434316,103.93998406943659,,216.40928474377975
2020-06-16,0.07,0.0714,99775.73490178965,112.29480607275889,111.97029213758469,,224.26509821034358
2020-06-17,0.07,0.0714,99767.89189402857,112.11996468025833,119.98814129117967,,232.10810597143802
2020-06-18,0.07,0.0714,99760.0617132678,111.9447799628555,127.99350676935012,,239.93828673220563
2020-06-19,0.07,0.0714,99752.24438055749,111.76925538380848,135.986364058698,,247.7556194425065
2020-06-20,0.07,0.0714,99744.4399167034,111.59339440349957,143.96668889310192,,255.56008329660148
2020-06-21,0.07,0.0714,99736.64834226717,111.4172004793163,151.9344572535118,,263.35165773282813
2020-06-22,0.07,0.0714,99728.86967756673,111.24067706553294,159.88964536773497,,271.1303224332679
2020-06-23,0.07,0.0714,99721.1039426766,111.06382761319286,167.83222971021402,,278.89605732340686
2020-06-24,0.07,0.0714,99713.35115742822,110.88665556999159,175.762187001796,,286.6488425717876
2020-06-25,0.07,0.0714,99705.61134141035,110.70916438016054,183.6794942094934,,294.38865858965397
2020-06-26,0.07,0.0714,99697.88451396942,110.5313574843515,191.58412854623688,,302.1154860305884
2020-06-27,0.07,0.0714,99690.17069420985,110.35323831952181,199.47606747061957,,309.82930579014135
2020-06-28,0.07,0.0714,99682.46990099455,110.1748103188203,207.35528868663343,,317.53009900545374
2020-06-29,0.07,0.0714,99674.78215294513,109.99607691147405,215.2217701433972,,325.21784705487124
2020-06-30,0.07,0.0714,99667.10746844245,109.81704152267565,223.07549003487645,,332.8925315575521
